Age,Ht,TailLn,HairLn,BangLn,Reach,EarLobes,ClassName,ClassID
46.8,144.0,11.7,10.6,6.8,150.1,0,Bhuttan,+1
54.8,139.6,16.5,6.6,4.4,140.5,0,Assam,-1
34.8,167.1,6.6,11.7,6.6,172.4,0,Bhuttan,+1
33.7,149.4,15.9,10.1,6.6,152.0,1,Assam,-1
46.9,138.8,11.3,7.5,4.5,140.7,0,Assam,-1
39.3,175.8,11.5,8.5,4.8,178.8,1,Assam,-1
32.2,140.6,5.6,12.0,7.1,146.7,1,Bhuttan,+1
43.7,161.8,5.6,9.3,7.1,168.2,1,Bhuttan,+1
47.4,146.4,9.5,12.4,7.3,151.9,1,Bhuttan,+1
56.3,120.8,12.2,9.1,4.2,123.6,0,Assam,-1
43.2,110.2,12.0,5.5,4.6,111.9,0,Assam,-1
17.7,147.4,8.4,12.3,6.4,154.2,1,Bhuttan,+1
59.8,107.8,13.7,8.3,6.2,108.1,1,Assam,-1
62.0,123.6,14.7,10.5,4.7,126.8,0,Assam,-1
56.4,188.5,8.3,7.1,4.3,191.2,1,Assam,-1
48.1,162.1,14.6,7.7,4.9,164.9,1,Assam,-1
34.8,134.2,15.9,14.4,8.0,139.4,1,Bhuttan,+1
30.9,124.4,13.1,7.7,6.7,130.9,1,Bhuttan,+1
51.2,133.6,10.3,7.8,6.8,139.2,1,Bhuttan,+1
60.2,108.8,9.4,8.1,4.8,111.7,1,Assam,-1
52.8,144.8,9.8,8.6,4.8,146.6,0,Assam,-1
29.7,119.9,11.7,7.1,7.0,125.7,1,Bhuttan,+1
54.1,152.6,9.9,15.9,6.7,158.9,0,Bhuttan,+1
40.2,172.7,7.4,7.8,3.4,174.8,0,Assam,-1
59.6,130.7,13.8,5.2,4.2,133.4,1,Assam,-1
43.5,149.1,5.7,7.7,4.7,152.1,0,Assam,-1
56.7,140.2,8.4,11.2,7.3,147.6,1,Bhuttan,+1
35.8,148.1,11.7,9.2,7.4,155.7,0,Bhuttan,+1
59.2,196.0,10.5,9.4,5.8,199.7,0,Assam,-1
33.1,216.5,11.8,5.4,3.9,219.7,1,Assam,-1
62.1,117.1,14.0,10.4,5.4,123.1,1,Bhuttan,+1
55.7,180.3,5.7,6.5,8.1,185.8,1,Bhuttan,+1
38.4,119.6,8.2,7.8,7.5,124.9,1,Bhuttan,+1
47.5,149.9,10.3,6.0,7.0,157.1,1,Bhuttan,+1
47.2,163.4,9.0,8.5,7.5,169.3,1,Bhuttan,+1
41.7,162.5,8.4,12.6,7.8,168.8,1,Bhuttan,+1
33.2,147.8,9.0,8.1,4.8,148.3,1,Assam,-1
25.5,122.9,16.1,11.1,4.8,125.7,0,Assam,-1
52.3,137.7,8.9,10.8,7.5,142.5,0,Bhuttan,+1
63.7,178.7,8.7,10.0,5.3,179.2,1,Assam,-1
56.7,135.7,14.1,6.3,5.8,139.2,0,Assam,-1
70.9,218.1,13.0,6.9,5.5,221.4,1,Assam,-1
40.7,145.3,13.8,7.6,5.9,146.6,0,Assam,-1
48.1,135.1,14.4,5.3,7.9,141.5,1,Bhuttan,+1
35.8,140.8,11.0,7.9,4.3,142.8,1,Assam,-1
37.4,110.1,7.0,9.8,5.3,112.3,1,Assam,-1
23.0,141.8,14.1,6.6,7.8,147.9,0,Bhuttan,+1
39.9,154.8,9.7,9.5,6.8,161.3,1,Bhuttan,+1
32.9,143.8,14.4,13.1,6.9,147.7,0,Bhuttan,+1
43.3,153.0,6.8,10.5,5.3,158.3,1,Bhuttan,+1
73.3,184.6,12.4,9.3,3.0,186.4,0,Assam,-1
35.5,162.3,13.0,9.3,7.9,168.8,1,Bhuttan,+1
45.1,125.0,1.8,10.9,8.0,130.1,1,Bhuttan,+1
53.7,178.6,13.5,6.4,5.7,180.9,0,Assam,-1
32.7,165.2,11.4,10.6,6.6,172.5,0,Bhuttan,+1
35.6,150.6,11.0,11.8,6.8,157.6,1,Bhuttan,+1
29.9,152.5,10.9,12.3,6.7,158.9,0,Bhuttan,+1
30.0,121.8,8.6,9.6,9.0,126.4,0,Bhuttan,+1
38.4,137.4,8.2,10.0,5.8,142.9,1,Bhuttan,+1
34.4,167.1,13.7,6.8,4.9,169.4,0,Assam,-1
72.2,171.6,10.9,7.1,3.9,173.8,0,Assam,-1
39.8,119.9,15.2,14.2,6.8,125.1,1,Bhuttan,+1
56.2,141.9,8.7,10.4,4.9,144.5,1,Assam,-1
36.5,125.9,2.8,11.7,6.3,131.8,1,Bhuttan,+1
55.4,176.9,11.6,12.5,6.3,183.3,1,Bhuttan,+1
38.6,166.0,7.6,8.2,6.7,171.9,1,Bhuttan,+1
32.6,185.3,11.6,9.2,5.1,186.8,1,Assam,-1
50.0,138.2,6.9,10.6,6.3,144.8,1,Bhuttan,+1
49.2,188.1,8.1,10.1,7.2,191.3,1,Assam,-1
49.6,137.6,8.6,11.0,5.8,143.2,0,Bhuttan,+1
43.1,154.4,12.4,9.7,5.9,160.3,1,Bhuttan,+1
42.1,113.7,6.3,7.3,4.0,118.1,1,Assam,-1
57.0,154.7,8.5,6.5,8.0,160.1,1,Bhuttan,+1
36.0,153.5,7.7,11.3,5.7,160.9,1,Bhuttan,+1
32.1,122.0,11.7,13.7,6.1,128.2,1,Bhuttan,+1
48.7,152.9,10.6,8.2,5.3,156.2,1,Assam,-1
48.0,145.1,8.3,12.5,7.2,151.2,1,Bhuttan,+1
42.2,164.5,11.4,11.2,6.0,169.6,0,Bhuttan,+1
46.7,146.3,15.4,6.4,6.1,146.4,0,Assam,-1
33.7,139.9,11.8,13.0,6.7,146.7,1,Bhuttan,+1
49.3,195.8,19.7,9.8,5.4,199.7,1,Assam,-1
38.6,151.8,20.0,8.3,6.8,157.5,1,Bhuttan,+1
50.1,150.7,14.2,8.6,4.3,153.6,1,Assam,-1
36.7,202.1,12.0,9.6,5.2,204.6,1,Assam,-1
37.0,137.2,9.7,10.9,7.9,142.5,1,Bhuttan,+1
73.2,160.5,10.0,6.4,5.5,164.4,0,Assam,-1
29.4,125.2,8.1,12.9,6.7,130.4,1,Bhuttan,+1
61.8,123.5,11.7,7.3,4.0,127.0,0,Assam,-1
41.7,178.8,11.1,7.1,3.9,180.0,1,Assam,-1
32.6,146.9,13.3,9.2,4.1,150.5,0,Assam,-1
30.8,138.1,10.9,9.0,8.4,142.4,0,Bhuttan,+1
52.0,147.4,10.1,8.8,5.5,148.8,0,Assam,-1
34.0,111.9,9.9,10.2,5.4,113.2,0,Assam,-1
42.9,131.5,9.1,10.2,7.4,135.1,1,Bhuttan,+1
52.7,147.1,7.0,8.2,7.2,153.3,1,Bhuttan,+1
55.9,161.1,13.8,9.2,4.8,163.4,0,Assam,-1
43.2,154.0,13.5,7.2,4.5,156.8,0,Assam,-1
60.1,151.4,12.1,7.7,6.8,156.9,1,Bhuttan,+1
36.9,137.4,11.6,8.4,6.7,143.8,1,Bhuttan,+1
58.6,158.7,9.9,4.1,7.0,165.6,1,Bhuttan,+1
38.9,158.1,17.4,7.1,5.6,160.9,0,Assam,-1
39.5,176.1,11.0,7.6,5.4,178.4,1,Assam,-1
53.4,162.5,8.9,11.0,4.4,168.4,1,Bhuttan,+1
31.2,121.3,9.4,11.2,6.5,128.0,1,Bhuttan,+1
63.6,132.4,9.7,5.4,5.2,132.8,1,Assam,-1
40.4,105.5,16.8,11.2,7.1,111.7,1,Bhuttan,+1
36.5,139.1,9.0,10.8,6.2,144.9,0,Bhuttan,+1
49.4,133.4,14.4,11.5,4.7,132.8,0,Assam,-1
33.0,123.4,12.6,10.7,5.5,130.4,1,Bhuttan,+1
42.0,169.1,4.9,11.5,6.9,174.7,1,Bhuttan,+1
46.2,149.7,10.6,9.2,5.0,150.9,1,Assam,-1
59.5,192.7,15.3,10.4,5.5,195.7,0,Assam,-1
48.6,105.7,14.9,6.7,5.4,107.6,1,Assam,-1
55.8,178.4,16.1,9.5,6.1,179.2,1,Assam,-1
41.9,114.2,16.2,7.4,5.2,116.9,1,Assam,-1
36.3,124.1,3.3,8.2,6.6,130.1,1,Bhuttan,+1
37.4,145.0,9.9,10.1,5.4,145.3,0,Assam,-1
56.2,176.7,2.9,7.7,4.3,178.2,1,Assam,-1
43.7,126.7,14.4,6.3,5.0,129.9,0,Assam,-1
21.7,124.7,11.7,11.9,6.9,132.1,1,Bhuttan,+1
49.6,142.1,4.2,8.0,6.4,143.3,0,Assam,-1
40.5,130.5,9.6,7.2,4.6,134.3,0,Assam,-1
21.6,205.6,12.6,7.5,4.0,207.5,1,Assam,-1
45.0,118.8,8.0,6.9,6.7,121.3,0,Assam,-1
28.3,176.7,12.9,6.9,3.9,177.1,1,Assam,-1
40.6,150.5,8.7,7.7,8.1,156.7,1,Bhuttan,+1
49.8,149.3,9.9,8.3,6.2,156.0,0,Bhuttan,+1
44.6,112.5,9.3,7.0,4.8,115.5,1,Assam,-1
47.2,118.1,15.1,10.3,4.9,122.6,1,Bhuttan,+1
28.7,152.7,5.7,12.6,7.8,158.6,1,Bhuttan,+1
41.7,156.5,9.2,7.6,7.3,162.9,1,Bhuttan,+1
54.6,162.7,6.2,10.0,6.6,169.0,1,Bhuttan,+1
41.9,152.0,5.6,10.0,7.3,157.7,0,Bhuttan,+1
26.0,149.8,12.4,10.8,4.1,151.3,1,Assam,-1
58.7,140.6,11.8,6.8,4.2,142.2,0,Assam,-1
40.6,137.5,18.1,8.8,2.4,140.2,1,Assam,-1
58.8,185.6,8.0,7.9,5.3,185.7,1,Assam,-1
41.6,149.4,14.4,5.2,6.2,151.3,0,Assam,-1
22.1,101.4,8.4,5.0,7.8,107.9,1,Bhuttan,+1
63.3,177.7,7.3,5.8,5.3,181.1,1,Assam,-1
36.8,108.4,10.0,7.4,5.9,108.7,1,Assam,-1
69.4,111.5,6.9,7.4,4.3,112.5,0,Assam,-1
48.8,132.5,7.0,7.3,5.4,137.6,1,Bhuttan,+1
48.9,147.9,11.1,7.8,6.5,154.1,1,Bhuttan,+1
58.2,164.2,10.2,9.1,8.6,171.1,1,Bhuttan,+1
50.0,143.4,14.3,7.5,3.0,144.8,1,Assam,-1
47.3,166.1,14.0,12.4,7.0,171.6,1,Bhuttan,+1
51.6,134.6,10.7,15.1,7.3,140.5,1,Bhuttan,+1
54.1,132.2,9.5,11.8,8.7,139.3,1,Bhuttan,+1
30.5,150.8,10.8,12.6,7.4,156.8,1,Bhuttan,+1
55.1,105.2,11.6,8.3,3.7,106.7,1,Assam,-1
51.6,135.2,15.6,10.9,8.8,140.7,1,Bhuttan,+1
38.3,159.9,12.8,7.4,2.5,162.3,0,Assam,-1
44.4,137.1,9.9,11.0,5.9,144.2,0,Bhuttan,+1
31.7,122.9,15.3,9.3,3.4,125.7,1,Assam,-1
21.9,139.6,7.9,11.5,7.7,145.8,1,Bhuttan,+1
45.8,131.7,8.3,8.5,7.7,136.7,0,Bhuttan,+1
42.6,109.0,8.4,10.9,5.7,111.7,1,Assam,-1
43.1,125.8,19.3,8.3,3.5,128.7,1,Assam,-1
40.7,147.0,5.7,10.0,6.3,153.3,1,Bhuttan,+1
24.4,140.5,11.4,11.9,6.1,147.6,0,Bhuttan,+1
35.1,158.2,12.8,8.0,5.3,160.0,1,Assam,-1
43.4,123.6,14.1,7.6,4.8,126.2,1,Assam,-1
55.5,137.5,19.9,7.1,5.1,139.2,1,Assam,-1
50.5,139.1,14.7,10.2,7.9,145.7,1,Bhuttan,+1
24.6,120.6,11.1,11.8,7.5,127.5,1,Bhuttan,+1
51.3,149.7,7.3,10.0,6.5,155.7,1,Bhuttan,+1
38.8,134.1,9.5,9.5,5.7,140.3,1,Bhuttan,+1
39.4,147.5,9.6,7.6,4.7,149.7,1,Assam,-1
38.6,111.4,9.6,10.0,5.5,114.4,0,Assam,-1
45.4,187.9,6.6,9.1,7.7,193.7,0,Bhuttan,+1
57.9,170.9,15.8,6.1,4.0,173.5,1,Assam,-1
50.3,152.2,12.6,9.7,3.4,155.5,1,Assam,-1
43.6,132.1,10.6,9.4,8.4,138.7,1,Bhuttan,+1
33.8,124.2,18.8,11.7,4.2,126.2,1,Assam,-1
44.3,153.2,9.8,8.2,6.6,158.6,1,Bhuttan,+1
13.4,137.4,17.8,11.2,7.9,141.8,0,Bhuttan,+1
61.2,164.3,2.3,8.9,7.3,171.1,1,Bhuttan,+1
22.6,120.9,10.1,7.5,7.3,128.3,0,Bhuttan,+1
45.5,138.0,10.7,7.3,5.3,139.5,0,Assam,-1
56.0,152.9,19.6,6.7,6.9,155.9,1,Assam,-1
39.3,150.1,9.7,11.2,8.1,155.4,1,Bhuttan,+1
43.6,155.3,20.4,9.3,6.2,160.7,1,Bhuttan,+1
42.4,128.6,9.3,10.9,6.1,134.7,1,Bhuttan,+1
40.8,106.4,12.4,8.4,6.9,113.5,1,Bhuttan,+1
57.8,139.6,12.7,5.8,3.6,141.0,0,Assam,-1
32.4,171.5,16.1,4.5,3.2,173.4,0,Assam,-1
52.6,163.1,14.8,8.7,4.8,166.7,1,Assam,-1
47.8,152.8,15.0,5.8,4.1,156.3,0,Assam,-1
52.1,155.3,15.6,5.8,5.5,159.3,1,Assam,-1
38.8,121.8,14.7,9.1,4.6,124.5,0,Assam,-1
55.5,118.9,11.8,7.0,3.7,121.2,1,Assam,-1
36.1,119.5,6.9,12.7,7.2,124.9,1,Bhuttan,+1
60.4,137.6,17.6,8.8,5.4,141.2,1,Assam,-1
51.4,170.2,7.5,9.8,4.2,172.8,1,Assam,-1
41.9,179.9,10.3,8.1,6.8,179.9,1,Assam,-1
34.7,128.6,7.8,5.7,8.0,134.9,1,Bhuttan,+1
47.9,136.0,3.6,8.9,5.0,137.8,0,Assam,-1
52.3,161.1,8.0,7.8,3.7,164.0,1,Assam,-1
41.8,108.7,10.7,12.8,5.9,114.8,1,Bhuttan,+1
16.9,116.8,5.6,7.6,4.5,119.7,1,Assam,-1
28.9,194.3,8.3,8.2,3.4,197.2,0,Assam,-1
44.5,152.3,9.3,7.3,3.4,155.0,0,Assam,-1
60.7,163.3,11.7,9.5,5.7,166.9,1,Assam,-1
62.2,161.6,6.1,12.0,6.2,168.3,1,Bhuttan,+1
53.6,198.4,7.6,5.5,4.6,199.9,0,Assam,-1
38.5,141.7,10.4,7.6,9.0,148.0,1,Bhuttan,+1
65.0,140.7,14.7,8.7,5.9,141.8,0,Assam,-1
44.5,153.8,14.5,7.9,5.1,156.8,1,Assam,-1
71.9,133.5,9.1,7.2,6.4,136.2,1,Assam,-1
49.9,148.4,7.1,8.4,7.4,154.7,1,Bhuttan,+1
31.3,179.8,11.3,10.4,5.4,181.8,1,Assam,-1
34.4,145.0,10.1,11.0,5.5,151.5,1,Bhuttan,+1
26.5,148.8,10.3,10.1,8.1,154.6,1,Bhuttan,+1
16.9,129.2,12.7,8.3,4.6,132.1,1,Assam,-1
39.5,121.8,16.4,5.9,5.6,125.8,0,Assam,-1
47.0,130.0,7.4,8.0,5.6,137.7,1,Bhuttan,+1
59.9,148.7,10.5,8.2,5.5,152.4,1,Assam,-1
29.4,187.6,16.5,9.0,5.1,190.0,0,Assam,-1
36.3,178.1,7.8,8.2,5.1,180.6,1,Assam,-1
35.5,174.2,17.0,8.5,3.7,178.3,1,Assam,-1
26.3,121.1,13.6,9.5,6.6,126.8,1,Bhuttan,+1
39.5,154.1,14.0,8.4,4.8,157.1,0,Assam,-1
43.5,141.5,7.6,14.0,7.0,148.4,0,Bhuttan,+1
45.1,120.6,9.9,6.5,5.1,123.4,0,Assam,-1
15.1,128.8,6.4,9.7,8.2,134.8,1,Bhuttan,+1
29.3,163.9,7.2,9.3,6.5,169.6,1,Bhuttan,+1
18.7,178.1,12.2,8.8,4.9,180.8,1,Assam,-1
43.7,167.3,15.1,8.8,4.8,170.2,1,Assam,-1
40.5,143.0,7.7,13.6,8.0,148.2,0,Bhuttan,+1
44.5,142.1,10.4,8.9,7.2,147.4,1,Bhuttan,+1
55.4,138.1,9.8,8.1,6.1,145.0,1,Bhuttan,+1
40.5,150.4,9.8,5.5,7.6,155.5,1,Bhuttan,+1
55.9,147.6,5.2,9.8,4.3,149.3,1,Assam,-1
44.7,151.3,10.3,9.3,7.2,158.7,0,Bhuttan,+1
37.5,192.7,8.0,7.1,5.1,195.2,1,Assam,-1
49.6,117.1,10.7,11.2,7.0,122.0,0,Bhuttan,+1
23.1,133.5,8.3,12.2,6.0,139.6,1,Bhuttan,+1
39.7,122.9,7.9,8.5,5.6,127.7,1,Bhuttan,+1
68.0,163.0,11.3,11.1,9.4,168.3,1,Bhuttan,+1
54.8,151.0,10.2,6.1,3.3,154.7,0,Assam,-1
55.5,151.2,8.2,10.9,8.0,157.6,1,Bhuttan,+1
54.9,137.0,6.8,10.1,6.2,143.4,1,Bhuttan,+1
58.1,140.2,13.9,9.1,6.6,142.1,1,Assam,-1
39.2,128.0,9.6,13.0,6.7,132.6,1,Bhuttan,+1
40.6,132.4,6.7,11.9,5.2,138.6,1,Bhuttan,+1
43.7,145.2,10.9,12.8,6.4,153.0,0,Bhuttan,+1
51.7,123.5,11.6,6.2,6.2,126.5,1,Assam,-1
64.7,175.0,11.4,6.0,8.3,181.7,0,Bhuttan,+1
46.8,146.5,13.6,8.8,2.9,147.1,1,Assam,-1
25.7,128.3,7.0,11.0,7.9,133.1,1,Bhuttan,+1
36.0,142.4,6.1,7.8,6.7,148.1,1,Bhuttan,+1
40.5,139.8,6.4,9.6,8.0,145.6,1,Bhuttan,+1
56.5,136.3,12.3,10.1,6.3,141.9,1,Bhuttan,+1
31.7,127.8,9.4,8.0,5.9,130.8,1,Assam,-1
39.4,143.9,11.3,9.0,5.7,149.8,1,Bhuttan,+1
19.4,134.1,11.0,12.4,7.4,140.7,1,Bhuttan,+1
32.4,167.8,8.9,7.7,3.8,170.9,1,Assam,-1
34.7,130.6,9.0,8.7,6.3,136.6,1,Bhuttan,+1
33.4,120.4,14.3,10.2,6.6,126.5,1,Bhuttan,+1
37.3,167.1,12.1,7.3,4.9,170.6,0,Assam,-1
38.0,187.2,14.0,8.5,6.6,187.9,1,Assam,-1
62.1,137.7,12.5,6.3,5.1,138.3,0,Assam,-1
33.9,198.9,16.0,9.0,5.2,202.0,0,Assam,-1
52.1,119.5,7.5,8.1,6.5,127.0,1,Bhuttan,+1
23.0,135.8,11.0,10.6,7.3,139.5,1,Bhuttan,+1
35.3,115.7,10.2,5.0,5.6,117.4,1,Assam,-1
54.4,153.7,9.5,9.6,5.9,156.8,1,Assam,-1
36.4,184.7,16.6,7.1,6.4,186.1,1,Assam,-1
67.0,114.1,16.1,8.4,6.6,116.6,1,Assam,-1
55.2,185.5,7.4,7.4,5.9,187.3,1,Assam,-1
39.0,147.2,6.6,10.7,8.1,153.8,0,Bhuttan,+1
59.6,174.4,11.0,3.9,5.9,175.8,1,Assam,-1
51.8,149.7,5.3,10.0,6.0,157.2,1,Bhuttan,+1
63.6,146.5,9.2,5.6,6.7,149.2,1,Assam,-1
40.2,144.9,11.1,8.4,3.9,147.4,1,Assam,-1
39.2,189.2,17.3,10.0,3.8,191.9,0,Assam,-1
48.0,145.9,8.4,7.2,6.1,152.8,1,Bhuttan,+1
41.2,145.4,6.8,9.8,6.2,152.1,1,Bhuttan,+1
49.6,152.7,6.3,11.0,4.7,159.3,1,Bhuttan,+1
28.0,194.3,11.9,8.0,4.5,196.9,0,Assam,-1
36.9,127.6,7.9,7.2,5.6,131.1,0,Assam,-1
31.6,187.3,12.9,9.3,4.6,189.8,1,Assam,-1
66.1,174.8,10.3,6.5,4.6,176.9,1,Assam,-1
50.0,158.3,11.0,7.9,7.4,165.1,1,Bhuttan,+1
43.3,135.0,5.0,11.2,7.7,142.4,1,Bhuttan,+1
52.5,146.5,15.9,7.9,4.7,148.2,0,Assam,-1
25.7,155.8,10.2,10.3,8.1,161.8,1,Bhuttan,+1
36.3,147.1,11.9,6.9,8.4,152.4,1,Bhuttan,+1
61.4,140.4,11.0,10.6,6.2,141.6,1,Assam,-1
39.8,139.7,12.4,13.1,8.4,146.8,1,Bhuttan,+1
58.2,147.3,11.2,7.3,7.3,152.8,1,Bhuttan,+1
36.8,136.2,10.8,8.0,8.2,140.0,1,Bhuttan,+1
38.5,156.5,12.1,9.9,7.7,162.0,0,Bhuttan,+1
30.4,140.3,7.1,12.1,7.9,146.6,1,Bhuttan,+1
41.0,142.3,14.8,6.7,7.1,149.7,0,Bhuttan,+1
29.7,183.4,13.3,9.7,4.4,185.9,1,Assam,-1
29.6,124.9,20.9,8.3,5.3,128.0,0,Assam,-1
48.7,131.2,10.7,11.4,7.2,137.1,1,Bhuttan,+1
50.9,158.8,14.7,5.9,5.2,162.4,1,Assam,-1
44.0,145.5,14.8,13.5,5.9,148.7,1,Bhuttan,+1
44.7,141.2,22.0,9.0,5.1,144.7,1,Assam,-1
51.3,106.8,7.2,6.9,6.0,111.0,0,Assam,-1
41.3,125.8,11.7,8.5,8.3,132.3,0,Bhuttan,+1
38.5,163.6,10.3,7.9,4.7,166.8,1,Assam,-1
35.1,146.0,13.4,7.8,6.3,150.6,1,Bhuttan,+1
21.7,125.9,11.0,8.3,7.2,131.2,1,Bhuttan,+1
45.2,140.7,13.5,8.5,5.3,143.0,1,Assam,-1
43.8,155.6,9.6,9.3,6.2,162.4,1,Bhuttan,+1
36.7,129.8,8.0,9.6,7.3,136.2,1,Bhuttan,+1
44.1,109.3,11.4,7.5,4.5,112.8,1,Assam,-1
55.8,153.0,15.9,7.1,4.7,156.0,1,Assam,-1
33.2,123.1,16.2,9.0,7.5,128.3,1,Bhuttan,+1
55.2,126.2,8.7,10.5,5.4,128.9,1,Assam,-1
41.9,190.8,11.6,9.3,4.1,193.9,1,Assam,-1
35.3,153.3,10.2,8.4,6.5,159.0,1,Bhuttan,+1
41.4,128.3,13.4,10.3,5.1,130.4,0,Assam,-1
48.1,152.6,15.7,8.2,6.5,159.5,1,Bhuttan,+1
39.7,126.1,12.0,9.1,6.0,133.4,1,Bhuttan,+1
54.2,136.4,15.7,8.8,3.6,138.6,0,Assam,-1
81.9,184.0,8.7,6.5,4.1,184.4,1,Assam,-1
33.7,140.4,15.8,8.6,7.0,145.2,1,Bhuttan,+1
49.8,152.1,11.3,10.1,5.2,157.1,1,Bhuttan,+1
32.1,156.3,13.2,12.2,8.5,162.1,1,Bhuttan,+1
69.0,169.1,10.3,6.0,5.5,170.7,0,Assam,-1
31.7,151.5,14.8,12.7,8.1,157.6,0,Bhuttan,+1
48.6,141.6,9.1,6.2,3.4,144.8,1,Assam,-1
28.6,124.8,10.1,13.1,8.0,131.7,0,Bhuttan,+1
48.9,154.0,6.1,12.9,4.6,160.1,1,Bhuttan,+1
35.0,118.6,4.8,9.4,6.4,124.7,1,Bhuttan,+1
74.7,102.8,14.2,8.1,5.4,105.6,1,Assam,-1
70.2,141.3,6.1,10.3,4.3,143.6,1,Assam,-1
42.9,141.4,7.9,8.3,5.6,141.9,1,Assam,-1
57.3,163.4,8.8,5.5,6.8,169.4,1,Bhuttan,+1
28.9,152.6,12.9,8.8,7.4,159.0,1,Bhuttan,+1
29.1,164.7,12.8,9.6,3.8,167.6,1,Assam,-1
44.7,144.3,20.0,10.9,6.3,150.4,1,Bhuttan,+1
45.0,149.8,11.4,13.3,7.7,156.4,1,Bhuttan,+1
33.6,118.7,13.8,7.6,3.1,120.2,0,Assam,-1
27.2,136.0,11.0,5.1,5.3,139.3,1,Assam,-1
30.6,115.4,7.6,7.7,8.0,120.6,1,Bhuttan,+1
33.5,136.5,14.5,8.5,6.2,142.9,1,Bhuttan,+1
36.4,168.3,10.0,6.7,4.4,171.6,1,Assam,-1
35.5,169.9,13.7,11.3,4.8,172.2,0,Assam,-1
45.7,148.7,12.7,10.1,4.7,152.4,1,Assam,-1
23.5,134.4,7.8,12.6,6.4,141.3,1,Bhuttan,+1
44.9,158.4,10.8,9.4,7.5,164.1,0,Bhuttan,+1
46.8,129.3,11.4,15.1,8.1,135.6,1,Bhuttan,+1
